العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,أخصائي أرصاد جوية,26,,,,,,,,المدينة,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي أساليب تعليم,308,,,,,,,,المدينة,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,6
,,,,,,أخصائي استثمار,520,,,,,,,,المدينة,الأنشطة العقارية,صغيرة (فئة ب),احمر,38
,,,,,,أخصائي استجابة لحوادث سيبرانية,33,,,,,,,,المدينة,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,17
,,,,,,أخصائي استجابة لحوادث سيبرانية أنظمة تحكم صناعي وتقنيات تشغيلية,5,,,,,,,,المدينة,التشييد,صغيرة (فئة ب),احمر,391
,,,,,,أخصائي استراتيجيات,907,,,,,,,,المدينة,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,3
,,,,,,أخصائي استشارات أعمال,6952,,,,,,,,المدينة,التعليم,صغيرة (فئة ب),احمر,8
,,,,,,أخصائي استشارات أمن سيبراني,204,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,138
,,,,,,أخصائي استشارات مالية,1015,,,,,,,,المدينة,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,19
,,,,,,أخصائي استقدام,269,,,,,,,,المدينة,الصناعة التحويلية,صغيرة (فئة ب),احمر,188
,,,,,,أخصائي استمرارية الأعمال,1021,,,,,,,,المدينة,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,6
,,,,,,أخصائي أسرة وطفولة,17,,,,,,,,المدينة,المعلومات والاتصالات,صغيرة (فئة ب),احمر,17
,,,,,,أخصائي إشراف تربوي,179,,,,,,,,المدينة,النقل والتخزين,صغيرة (فئة ب),احمر,55
,,,,,,أخصائي إشراف طلابي,101,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"1,632"
,,,,,,أخصائي اضطرابات تخاطب,953,,,,,,,,المدينة,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي أطراف صناعية وأجهزة تعويضية,31,,,,,,,,تبوك,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,26
,,,,,,أخصائي إعادة تأهيل تربة,25,,,,,,,,تبوك,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,58
,,,,,,أخصائي أعاقة عقلية,3,,,,,,,,تبوك,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,240
,,,,,,أخصائي إعلامي,719,,,,,,,,تبوك,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,4
,,,,,,أخصائي اقتصاد,1310,,,,,,,,تبوك,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي اقتصاد قياسي,9,,,,,,,,تبوك,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي اكتشاف تهديدات سيبرانية,13,,,,,,,,تبوك,الأنشطة العقارية,صغيرة (فئة ب),احمر,10
,,,,,,أخصائي آلات موسيقية,12,,,,,,,,تبوك,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,5
