السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم بمحافظة العويقيلة,بنين,112,1,113
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنات,13687,1391,15078
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنين,9996,651,10647
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم برفحاء,بنات,6165,703,6868
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم برفحاء,بنين,3810,334,4144
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم بطريف,بنات,4059,410,4469
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم بطريف,بنين,3183,279,3462
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم بمحافظة العويقيلة,بنات,1498,132,1630
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,حكومي,مكتب التعليم بمحافظة العويقيلة,بنين,893,77,970
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,عالمي وأجنبي,إدارة الإشراف التربوي,بنات,149,194,343
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,عالمي وأجنبي,إدارة الإشراف التربوي,بنين,113,99,212
